Acinetobacter | número de entradas: 878 | date: 2023-05-03 10:40:35.083817
GCF_001696605.3 SAMN05356836
GCF_003354845.1 SAMN09069679
GCF_003345235.1 SAMN07559626
GCF_003335165.1 SAMN09652504
GCF_003323815.1 SAMN09630388
GCF_003296225.1 SAMN09460321
GCF_003288775.1 SAMN09389171
GCF_003264295.1 SAMN06219545
GCF_003264275.1 SAMN07135565
GCF_003264255.1 SAMN07135563
GCF_900478145.1 SAMEA3146530
GCF_003258335.1 SAMN09423269
GCF_002165255.2 SAMN07138955
GCF_003181015.1 SAMN09241862
GCF_003143895.1 SAMN09197281
GCF_003029495.1 SAMN04014897
GCF_003010675.1 SAMN04014942
GCF_003010655.1 SAMN04014943
GCF_003006035.1 SAMN04014929
GCF_002996805.1 SAMN04014924
GCF_002993105.1 SAMN08625641
GCF_002951295.1 SAMN03996318
GCF_002948925.1 SAMN04014919
GCF_002947845.1 SAMN04014904
GCF_002947415.1 SAMN04014897
GCF_002946595.1 SAMN08449481
GCF_002934965.1 SAMN04287023
GCF_002934695.1 SAMN03455971
GCF_002902885.1 SAMN06040401
GCF_002863745.1 SAMN06187701
GCF_002843665.1 SAMN08054861
GCF_002813065.1 SAMN06066183
GCF_002813045.1 SAMN06066181
